ABC command line: "miter ./hard-instances/BubbleSort_6_4.aig ./hard-instances/PancakeSort_6_4.aig ; sat -v".

==================================[MINISAT]===================================
| Conflicts |     ORIGINAL     |              LEARNT              | Progress |
|           | Clauses Literals |   Limit Clauses Literals  Lit/Cl |          |
==============================================================================
|         0 |    4565    12626 |       0       0        0     0.0 |  0.000 % |
|       100 |    4565    12626 |       0     100     1918    19.2 |  0.189 % |
|       201 |    4565    12626 |       0     201     5380    26.8 |  0.188 % |
|       401 |    4565    12626 |       0     401    11228    28.0 |  0.189 % |
|       501 |    4565    12626 |       0     501    13475    26.9 |  0.188 % |
|       604 |    4565    12626 |       0     604    15879    26.3 |  0.189 % |
|       805 |    4565    12626 |       0     805    20771    25.8 |  0.188 % |
|      1205 |    4565    12626 |       0    1205    30407    25.2 |  0.189 % |
|      1306 |    4565    12626 |       0    1306    33599    25.7 |  0.189 % |
|      1406 |    4565    12626 |       0    1406    36200    25.7 |  0.189 % |
|      1606 |    4565    12626 |       0    1606    41829    26.0 |  0.189 % |
|      1709 |    4565    12626 |       0    1709    44715    26.2 |  0.189 % |
|      1809 |    4565    12626 |       0    1809    46770    25.9 |  0.188 % |
|      2010 |    4565    12626 |       0    2010    51560    25.7 |  0.189 % |
|      2411 |    4565    12626 |       0    2411    62630    26.0 |  0.188 % |
|      3214 |    4565    12626 |       0    3214    80793    25.1 |  0.189 % |
|      3315 |    4565    12626 |       0    3315    83675    25.2 |  0.189 % |
|      3415 |    4565    12626 |       0    3415    86560    25.3 |  0.189 % |
|      3616 |    4565    12626 |       0    3616    93135    25.8 |  0.189 % |
|      3717 |    4565    12626 |       0    3717    95625    25.7 |  0.189 % |
|      3818 |    4565    12626 |       0    3818    98980    25.9 |  0.188 % |
|      4022 |    4565    12626 |       0    4022   104053    25.9 |  0.189 % |
|      4422 |    4565    12626 |       0    4422   115942    26.2 |  0.188 % |
|      4524 |    4565    12626 |       0    4524   118714    26.2 |  0.188 % |
|      4624 |    4565    12626 |       0    4624   122158    26.4 |  0.188 % |
|      4828 |    4565    12626 |       0    4828   128149    26.5 |  0.189 % |
|      4929 |    4565    12626 |       0    4929   131092    26.6 |  0.189 % |
|      5029 |    4565    12626 |       0    5029   133919    26.6 |  0.188 % |
|      5231 |    4565    12626 |       0    5231   139614    26.7 |  0.189 % |
|      5632 |    4565    12626 |       0    5632   151192    26.8 |  0.189 % |
